TIME_PERIOD,Balance_of_payments,Business_tendency_and_consumer_opinion_surveys,Composite_leading_indicators,Financial_statistics_share_price_index,Financial_statistics_Long-term interest rates,Industry,International_trade,Labour_market_statistics,Consumer_price_indices,GDP
2000-Q1,-5137.081,12.93408,64.16375,57.14708,6.901983,71.74657,-1.609661,68.51615,0.8683068,1052610.8
2000-Q2,-4915.593,7.188005,64.7561,56.61853,6.300913,72.05145,-1.70445,69.11356,0.7173601,1062328.3
2000-Q3,-3290.672,8.206771,64.88159,60.17802,6.175162,73.01106,-0.8385016,69.65662,3.846154,1064387.1
2000-Q4,-3131.326,-10.15755,64.63844,59.63087,5.880219,73.32154,0.02522248,69.05394,0.2743484,1060398.0
2001-Q1,-2248.219,-6.817195,65.29521,59.79416,5.285803,73.00371,0.4590626,68.90128,1.094391,1071172.5
2001-Q2,-1942.35,-0.8174648,65.83566,61.1128,5.805817,73.40665,0.8361753,69.1362,0.811908,1080038.7
2001-Q3,-1635.056,10.41661,66.63226,59.67142,5.808712,73.29948,0.9814205,69.03516,0.2684564,1093106.8
2001-Q4,-2648.931,0.4423121,67.43085,59.83873,5.560726,74.36156,0.2781753,68.97038,0.9370816,1106207.9
2002-Q1,-2637.666,13.34717,67.94044,62.59467,6.037694,75.06837,-0.2995303,69.04536,0.928382,1114567.7
2002-Q2,-3830.339,7.193376,69.07705,60.93627,6.172283,75.09227,-0.3761893,69.08303,0.6570302,1133213.8
2002-Q3,-4221.976,4.421582,69.31842,56.72178,5.647969,75.43167,-1.385579,69.42141,0.6527415,1137173.5
2002-Q4,-5579.826,7.826677,69.82778,54.72005,5.517885,76.20112,-2.367764,69.77602,0.6485084,1145529.6
2003-Q1,-5971.915,7.561492,69.89713,52.82389,5.238139,76.35434,-2.511393,70.15783,1.28866,1146667.3
2003-Q2,-7349.275,9.038821,70.13134,54.62437,5.058995,75.35676,-4.272943,69.85201,0.0,1150509.5
2003-Q3,-7391.409,17.30788,71.3138,57.24477,5.423276,74.8823,-3.709373,69.85681,0.6361323,1169908.0
2003-Q4,-8254.06,7.776515,72.49918,58.85683,5.746692,74.9828,-3.860879,70.07211,0.505689,1189354.2
2004-Q1,-9520.119,9.952236,73.0969,60.84338,5.578812,76.07622,-3.927916,69.99145,0.8805031,1199159.8
2004-Q2,-8810.484,9.140471,73.58703,62.71079,5.868857,75.91228,-3.916392,70.17735,0.4987531,1207200.3
2004-Q3,-10635.22,10.87315,74.14381,64.69377,5.570985,76.12919,-4.40507,70.18689,0.3722084,1216334.4
2004-Q4,-12558.13,8.71998,74.71603,70.09274,5.344444,75.92517,-4.821757,70.78941,0.7416564,1225721.7
2005-Q1,-11918.92,1.926642,75.30391,75.34128,5.467404,77.0621,-4.824909,71.17123,0.7361963,1235365.9
2005-Q2,-10503.52,7.81687,75.64102,74.87832,5.300068,78.0275,-2.767553,71.57576,0.6090134,1240899.9
2005-Q3,-10511.2,-2.859137,76.45237,80.60666,5.198432,77.57752,-3.105055,71.71736,0.968523,1254213.9
2005-Q4,-10632.54,1.826378,77.08991,83.12486,5.393989,77.21852,-2.334138,71.61311,0.4796163,1264694.8
2006-Q1,-10456.67,1.887428,77.25276,89.16889,5.272268,76.59132,-1.980098,71.6335,0.8353222,1267329.7
2006-Q2,-11636.38,0.8651655,77.38788,93.37054,5.689188,77.62456,-3.605821,71.96846,1.656805,1269524.2
2006-Q3,-11013.54,8.32922,78.53098,91.60742,5.736325,79.74443,-1.672073,72.4188,0.9313155,1288342.8
2006-Q4,-12779.55,7.283769,79.55484,98.64959,5.653708,81.18835,-2.355902,72.43136,-0.1153403,1305128.4
2007-Q1,-13747.96,8.175519,80.73328,106.0226,5.807896,81.1151,-1.79461,72.47686,0.0,1324420.5
2007-Q2,-15330.29,3.924453,81.21155,113.7769,6.011781,81.12535,-4.418394,72.76962,1.270208,1332233.4
2007-Q3,-16264.84,12.59441,82.1088,113.2666,6.022596,82.12899,-4.631146,72.88559,0.6841505,1347048.3
2007-Q4,-18491.48,11.61393,82.51749,119.1082,6.135811,82.26263,-5.220401,73.05685,0.9060023,1353723.7
2008-Q1,-18766.23,3.532853,83.45591,101.8862,6.15216,84.02515,-6.268592,73.23971,1.346801,1369074.4
2008-Q2,-16343.01,-5.065109,83.65478,101.4075,6.370742,84.74154,-3.420971,73.29989,1.439646,1372322.1
2008-Q3,-10363.47,5.328195,84.27889,90.06924,5.95831,85.01601,1.154701,73.18803,1.200873,1382608.5
2008-Q4,-5813.386,-19.20604,83.90062,70.30481,4.790564,82.77779,3.699891,73.0066,-0.3236246,1376399.2
2009-Q1,-3758.381,-18.41723,84.75067,63.21585,4.222159,82.15736,5.07554,72.46171,0.1082251,1390329.7
2009-Q2,-11933.57,-4.681203,85.23252,69.62283,5.024317,82.36941,-1.526567,72.04156,0.4324324,1398245.5
2009-Q3,-13805.17,16.0572,85.48239,78.54806,5.448237,83.415,-2.997916,71.74003,0.9687836,1402318.9
2009-Q4,-18979.82,7.939725,86.11725,85.77218,5.463333,85.62143,-4.14883,71.92577,0.533049,1412770.5
2010-Q1,-16727.2,10.04427,86.54943,86.50535,5.551667,87.14572,-0.6616676,72.10241,0.9544008,1419856.8
2010-Q2,-8209.84,4.937992,87.00488,84.16779,5.534167,87.1491,4.847075,72.06322,0.6302521,1427328.5
2010-Q3,-9149.741,5.505061,87.59656,81.68843,5.039166,87.09312,6.60563,72.45891,0.7306889,1437020.4
2010-Q4,-11628.67,4.086237,88.49516,85.41597,5.339167,86.57636,8.038603,72.83791,0.4145078,1451780.2
2011-Q1,-12633.69,14.84912,88.26005,87.09901,5.521667,85.03443,8.383768,72.88717,1.444788,1447912.3
2011-Q2,-11719.04,2.837724,89.30248,85.81882,5.3325,87.40697,8.394621,72.65282,0.9155646,1465013.5
2011-Q3,-9958.021,0.9658782,90.49747,77.89247,4.571667,88.94215,10.34563,72.63165,0.6048387,1484624.8
2011-Q4,-12190.77,2.93557,91.53924,76.11659,4.0925,89.72592,8.405307,72.45029,0.0,1501703.9
2012-Q1,-18012.0,4.584881,92.38638,77.19817,3.971667,89.93867,2.281594,72.44275,0.1002004,1515623.4
2012-Q2,-13624.2,6.454257,93.0879,76.5061,3.376667,89.54517,3.300834,72.39388,0.5005005,1527095.2
2012-Q3,-16832.82,12.02962,93.63842,77.84659,3.055833,91.73979,0.4463132,72.29881,1.394422,1536163.2
2012-Q4,-19020.35,3.0,94.13436,82.02872,3.1125,92.1795,0.1910933,72.23824,0.1964637,1544269.7
2013-Q1,-13094.64,4.333333,94.41241,89.82155,3.469167,91.61647,3.552074,72.30818,0.3921569,1548860.6
2013-Q2,-13231.13,5.666667,94.82536,90.36855,3.336667,92.46111,6.471037,72.07923,0.390625,1555594.7
2013-Q3,-13466.36,6.333333,95.59153,92.70076,3.87,93.81091,3.941683,71.87534,1.167315,1568178.4
2013-Q4,-11447.23,12.33333,96.37872,96.33081,4.113333,94.97108,6.317715,71.636,0.7692308,1581158.4
2014-Q1,-8875.868,5.333333,97.03281,96.9389,4.133333,96.26938,6.849614,71.57392,0.5725191,1591808.1
2014-Q2,-12167.22,0.0,97.55806,99.32523,3.836667,97.77569,2.065103,71.52601,0.4743833,1600413.7
2014-Q3,-12876.68,13.33333,98.03207,100.6236,3.476667,98.86211,1.436185,71.52135,0.4721435,1608256.0
2014-Q4,-10862.14,8.666667,98.38999,97.55614,3.18,98.75775,2.084934,71.47028,0.1879699,1614127.7
2015-Q1,-9950.728,11.0,99.217,104.1117,2.54,99.2068,-0.170918,71.83637,0.1876173,1627610.5
2015-Q2,-16122.42,9.0,99.39775,104.1995,2.756667,98.60985,-4.743276,72.02551,0.6554307,1630612.4
2015-Q3,-14626.29,12.33333,100.4473,97.31507,2.773333,101.0442,-2.741926,72.12034,0.4651163,1647952.1
2015-Q4,-16007.98,9.0,101.0272,94.37376,2.773333,101.0162,-4.70639,72.50604,0.3703704,1657387.1
2016-Q1,-12338.98,17.0,101.8864,91.08822,2.593333,102.6915,-5.114379,72.53805,-0.1845018,1671354.3
2016-Q2,-13445.18,6.333333,102.6212,95.24955,2.32,102.0217,-1.260566,72.42801,0.3696858,1683468.2
2016-Q3,-10778.15,11.66667,102.7309,98.8079,1.933333,101.7822,0.2113648,72.35397,0.7366483,1685545.3
2016-Q4,-4812.255,22.0,103.7666,99.1341,2.5,102.589,8.898109,72.27993,0.5484461,1702470.3
2017-Q1,-5195.813,19.33333,104.0525,104.4109,2.763333,102.0604,8.279268,72.39843,0.4545455,1706841.1
2017-Q2,-8411.518,16.0,104.7719,105.7792,2.503333,103.4446,2.804708,72.81491,0.1809955,1718525.6
2017-Q3,-10241.92,16.33333,105.7852,104.2,2.646667,104.6087,-4.895963,73.19768,0.6323397,1736107.6
2017-Q4,-12233.1,20.0,106.3111,108.2012,2.643333,104.7242,3.416245,73.45094,0.6283662,1744305.9
2018-Q1,-8377.898,13.0,107.2652,108.6863,2.776667,107.2168,4.272833,73.62077,0.4460303,1759245.5
2018-Q2,-9801.352,19.66667,108.2097,109.3749,2.743333,107.7711,6.437006,73.64737,0.3552398,1774677.0
2018-Q3,-7440.233,15.33333,108.6007,113.6466,2.62,107.8428,9.357461,73.78742,0.4424779,1782889.9
2018-Q4,-4558.462,20.33333,108.8143,105.1127,2.596667,108.2768,10.29642,73.93242,0.5286344,1785660.6
2019-Q1,-1661.208,15.33333,109.3422,109.5613,2.12,108.9258,11.40261,74.06125,0.0,1792868.1
2019-Q2,3306.409,22.66667,110.0532,116.4485,1.63,110.0595,15.83664,74.27474,0.613497,1804490.3
2019-Q3,5543.365,7.0,110.7155,120.9353,1.096667,111.2577,17.62395,74.47119,0.5226481,1816941.8
2019-Q4,2742.469,20.66667,111.2023,122.3597,1.126667,111.7469,12.56433,74.33272,0.6932409,1823929.1
2020-Q1,4550.063,-1.0,110.8739,117.4883,1.006667,111.6242,13.21924,74.48933,0.3442341,1818611.6
2020-Q2,10804.13,-14.0,103.1091,101.6897,0.8966666,108.5798,12.80773,70.61123,-1.886792,1691897.7
2020-Q3,7560.197,2.333333,106.6185,109.3695,0.89,108.6525,9.760626,72.08835,1.573427,1750397.7
2020-Q4,11689.75,20.33333,109.9532,116.2053,0.89,108.5812,12.04632,73.47577,0.8605852,1806519.7
2021-Q1,14131.75,21.0,,123.1831,1.353333,109.8567,17.51666,74.34683,0.5972697,1838799.1
